Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada
2024/03/04 22:36:09;5117868;5828872;53.247560460922614
2024/03/04 22:36:14;5117548;5829192;53.25048370565118
2024/03/04 22:36:19;5099916;5846824;53.41155449019526
2024/03/04 22:36:24;5103612;5843128;53.3777910135803
2024/03/04 22:36:29;5100152;5846588;53.40939859720793
2024/03/04 22:36:34;5097860;5848880;53.4303363375763
2024/03/04 22:36:40;5104900;5841840;53.366024953547814
2024/03/04 22:36:45;5104400;5842340;53.3705925234362
2024/03/04 22:36:50;5100900;5845840;53.40256551265491
2024/03/04 22:36:55;5105652;5841088;53.35915532843568
2024/03/04 22:37:00;5105400;5841340;53.36145738365943
2024/03/04 22:37:05;5102376;5844364;53.38908204634439
2024/03/04 22:37:10;5102376;5844364;53.38908204634439
2024/03/04 22:37:15;5102376;5844364;53.38908204634439
2024/03/04 22:37:20;5100420;5846320;53.40695037974776
2024/03/04 22:37:25;5100612;5846128;53.40519643291062
2024/03/04 22:37:30;5100612;5846128;53.40519643291062
2024/03/04 22:37:35;5105608;5841132;53.35955727458586
2024/03/04 22:37:40;5105344;5841396;53.36196895148693
2024/03/04 22:37:45;5105360;5841380;53.361822789250496
2024/03/04 22:37:51;5101356;5845384;53.3983998889167
2024/03/04 22:37:56;5101104;5845636;53.400701944140444
2024/03/04 22:38:01;5105760;5840980;53.35816873333979
2024/03/04 22:38:06;5105036;5841704;53.364782574538175
2024/03/04 22:38:11;5104784;5841956;53.36708462976192
2024/03/04 22:38:16;5095464;5851276;53.452224132481454
2024/03/04 22:38:21;5095452;5851288;53.45233375415877
2024/03/04 22:38:26;5096920;5849820;53.43892336896647
2024/03/04 22:38:31;5096168;5850572;53.4457929940786
2024/03/04 22:38:36;5095664;5851076;53.4503971045261
2024/03/04 22:38:41;5094912;5851828;53.45726672963823
2024/03/04 22:38:47;5095164;5851576;53.454964674414484
2024/03/04 22:38:52;5095416;5851324;53.45266261919074
2024/03/04 22:38:57;5094916;5851824;53.45723018907913
2024/03/04 22:39:03;5094664;5852076;53.45953224430287
2024/03/04 22:39:08;5094664;5852076;53.45953224430287
2024/03/04 22:39:13;5093152;5853588;53.47334457564535
2024/03/04 22:39:18;5089624;5857116;53.50557334877781
2024/03/04 22:39:23;5089876;5856864;53.503271293554064
2024/03/04 22:39:28;5094872;5851868;53.457632135229304
2024/03/04 22:39:33;5090588;5856152;53.496767074033
2024/03/04 22:39:39;5093612;5853128;53.46914241134804
2024/03/04 22:39:44;5097368;5849372;53.43483082634648
2024/03/04 22:39:49;5098156;5848584;53.42763233620238
2024/03/04 22:39:54;5096728;5850012;53.44067731580361
2024/03/04 22:39:59;5096476;5850264;53.442979371027356
2024/03/04 22:40:04;5030124;5916616;54.049114165495844
2024/03/04 22:40:10;4951248;5995492;54.76965745052865
2024/03/04 22:40:15;4950996;5995744;54.7719595057524
2024/03/04 22:40:20;4947216;5999524;54.8064903341086
2024/03/04 22:40:25;4946964;5999776;54.808792389332346
2024/03/04 22:40:30;4946712;6000028;54.8110944445561
2024/03/04 22:40:35;4951452;5995288;54.76779388201419
2024/03/04 22:40:40;4950448;5996292;54.77696556235007
2024/03/04 22:40:45;4950448;5996292;54.77696556235007
2024/03/04 22:40:51;4950196;5996544;54.779267617573815
2024/03/04 22:40:56;4949692;5997048;54.78387172802131
2024/03/04 22:41:01;4949188;5997552;54.788475838468806
2024/03/04 22:41:06;4948688;5998052;54.79304340835719
2024/03/04 22:41:11;4948688;5998052;54.79304340835719
2024/03/04 22:41:16;4948688;5998052;54.79304340835719
2024/03/04 22:41:21;4947944;5998796;54.799839952351114
2024/03/04 22:41:26;4947440;5999300;54.8044440627986
2024/03/04 22:41:31;4946936;5999804;54.8090481732461
2024/03/04 22:41:36;4946180;6000560;54.81595433891734
2024/03/04 22:41:41;4942148;6004592;54.85278722249729
2024/03/04 22:41:46;4947120;5999620;54.80736730752717
2024/03/04 22:41:51;4947372;5999368;54.80506525230343
2024/03/04 22:41:56;4952576;5994164;54.757525984905094
2024/03/04 22:42:01;4952576;5994164;54.757525984905094
2024/03/04 22:42:06;4957616;5989124;54.711484880430156
2024/03/04 22:42:11;4956612;5990128;54.72065656076604
2024/03/04 22:42:16;4956612;5990128;54.72065656076604
2024/03/04 22:42:21;4956148;5990592;54.72489526562246
2024/03/04 22:42:26;4955896;5990844;54.72719732084621
2024/03/04 22:42:32;4955392;5991348;54.7318014312937
2024/03/04 22:42:37;4951864;5994876;54.764030204426156
2024/03/04 22:42:42;4948588;5998152;54.79395692233487
2024/03/04 22:42:47;4948340;5998400;54.79622243699951
2024/03/04 22:42:52;4944336;6002404;54.83279953666571
2024/03/04 22:42:57;4949572;5997168;54.78496794479452
2024/03/04 22:43:02;4948060;5998680;54.798780276137
2024/03/04 22:43:07;4943776;6002964;54.8379152149407
2024/03/04 22:43:12;4942516;6004224;54.84942549105944
2024/03/04 22:43:17;4941512;6005228;54.85859717139532
2024/03/04 22:43:22;4925636;6021104;55.00362665049138
2024/03/04 22:43:27;4925384;6021356;55.00592870571513
2024/03/04 22:43:32;4924880;6021860;55.01053281616262
2024/03/04 22:43:37;4930220;6016520;54.96175116975465
2024/03/04 22:43:42;4929716;6017024;54.966355280202144
2024/03/04 22:43:47;4924176;6022564;55.01696395456547
2024/03/04 22:43:52;4923924;6022816;55.01926600978921
2024/03/04 22:43:57;4928948;6017792;54.9733710675507
2024/03/04 22:44:02;4928696;6018044;54.97567312277445
2024/03/04 22:44:07;4924452;6022288;55.01444265598708
2024/03/04 22:44:12;4898748;6047992;55.249252288809274
2024/03/04 22:44:17;4898244;6048496;55.25385639925676
2024/03/04 22:44:22;4897992;6048748;55.25615845448051
2024/03/04 22:44:27;4897488;6049252;55.26076256492801
2024/03/04 22:44:32;4893456;6053284;55.297595448507955
2024/03/04 22:44:37;4891188;6055552;55.31831394552168
2024/03/04 22:44:42;4892700;6054040;55.3045016141792
2024/03/04 22:44:48;4891188;6055552;55.31831394552168
2024/03/04 22:44:53;4887660;6059080;55.35054271865414
2024/03/04 22:44:58;4935032;6011708;54.91779287714881
2024/03/04 22:45:03;4937132;6009608;54.898609083617586
2024/03/04 22:45:08;4941848;6004892;54.85552776443032
2024/03/04 22:45:13;4941596;6005144;54.85782981965407
2024/03/04 22:45:18;4941596;6005144;54.85782981965407
2024/03/04 22:45:23;4942644;6004096;54.84825619316801
2024/03/04 22:45:28;4942140;6004600;54.85286030361551
2024/03/04 22:45:33;5114648;5832092;53.27697561100383
2024/03/04 22:45:38;5113724;5833016;53.285416480157565
2024/03/04 22:45:43;5037528;5909212;53.98147759058861
2024/03/04 22:45:48;5032740;5914000;54.025216639839805
2024/03/04 22:45:53;4956888;5989852;54.718135262187644
2024/03/04 22:45:58;4956344;5990396;54.72310477822621
2024/03/04 22:46:03;4952564;5994176;54.75763560658242
2024/03/04 22:46:08;4951812;5994928;54.76450523169455
2024/03/04 22:46:13;4948284;5998456;54.79673400482701
2024/03/04 22:46:19;4948032;5998708;54.79903606005075
2024/03/04 22:46:24;4944760;6001980;54.82892623740036
2024/03/04 22:46:29;4951364;5995376;54.76859777431454
2024/03/04 22:46:34;4949616;5997124;54.78456599864435
2024/03/04 22:46:39;4946844;5999896;54.80988860610556
2024/03/04 22:46:44;4946592;6000148;54.81219066132931
2024/03/04 22:46:49;4942812;6003928;54.846721489685514
2024/03/04 22:46:54;4944576;6002164;54.830607103119284
2024/03/04 22:46:59;4944324;6002416;54.83290915834303
2024/03/04 22:47:04;4940544;6006196;54.86743998669924
2024/03/04 22:47:09;4940292;6006448;54.86974204192298
2024/03/04 22:47:14;4945512;6001228;54.82205661228822
2024/03/04 22:47:19;4945008;6001732;54.82666072273572
2024/03/04 22:47:24;4945008;6001732;54.82666072273572
2024/03/04 22:47:29;4945008;6001732;54.82666072273572
2024/03/04 22:47:34;4944784;6001956;54.82870699404572
2024/03/04 22:47:39;4944280;6002460;54.83331110449321
2024/03/04 22:47:44;4943776;6002964;54.8379152149407
2024/03/04 22:47:49;4943524;6003216;54.84021727016445
2024/03/04 22:47:54;4943524;6003216;54.84021727016445
2024/03/04 22:47:59;4943272;6003468;54.842519325388196
2024/03/04 22:48:04;4941552;6005188;54.85823176580425
2024/03/04 22:48:09;4941804;6004936;54.855929710580504
2024/03/04 22:48:14;4941552;6005188;54.85823176580425
2024/03/04 22:48:20;4946780;5999960;54.81047325505128
2024/03/04 22:48:25;4946528;6000212;54.81277531027502
2024/03/04 22:48:30;4946028;6000712;54.81734288016341
2024/03/04 22:48:35;4945552;6001188;54.82169120669715
2024/03/04 22:48:40;4945300;6001440;54.8239932619209
2024/03/04 22:48:45;4945048;6001692;54.82629531714465
2024/03/04 22:48:50;4944584;6002156;54.83053402200107
2024/03/04 22:48:55;4936016;6010724;54.908803899608465
2024/03/04 22:49:00;4935512;6011228;54.91340801005596
2024/03/04 22:49:05;4934000;6012740;54.927220341398446
2024/03/04 22:49:10;4933748;6012992;54.92952239662219
2024/03/04 22:49:15;4933248;6013492;54.93408996651058
2024/03/04 22:49:20;4923672;6023068;55.021568065012964
2024/03/04 22:49:25;4923168;6023572;55.02617217546046
2024/03/04 22:49:30;4923168;6023572;55.02617217546046
2024/03/04 22:49:35;4928420;6018320;54.97819442135284
2024/03/04 22:49:40;4928168;6018572;54.98049647657659
2024/03/04 22:49:45;4928168;6018572;54.98049647657659
2024/03/04 22:49:50;4911020;6035720;55.1371458534687
2024/03/04 22:49:55;4812800;6133940;56.03439928234342
2024/03/04 22:50:01;4697324;6249416;57.08928868320614
2024/03/04 22:50:06;4720000;6226740;56.88214025362802
2024/03/04 22:50:11;4677348;6269392;57.271772235386976
2024/03/04 22:50:16;4672052;6274688;57.320151935644766
2024/03/04 22:50:21;4680024;6266716;57.24732660134433
2024/03/04 22:50:26;4697160;6249580;57.09078684612953
2024/03/04 22:50:31;4737660;6209080;56.7208136851702
2024/03/04 22:50:36;4677076;6269664;57.274256993406254
2024/03/04 22:50:41;4645992;6300748;57.55821367822749
2024/03/04 22:50:46;4624100;6322640;57.75820015822062
2024/03/04 22:50:51;4594500;6352240;58.028600295613124
2024/03/04 22:50:56;4506204;6440536;58.835196597343135
2024/03/04 22:51:01;4529652;6417088;58.62099583985734
2024/03/04 22:51:06;4469320;6477420;59.17213709286966
2024/03/04 22:51:12;4381048;6565692;59.97851415124503
2024/03/04 22:51:17;4360812;6585928;60.163372839767824
2024/03/04 22:51:22;4296312;6650428;60.75258935536973
2024/03/04 22:51:27;4213772;6732968;61.50660379254463
2024/03/04 22:51:32;4207372;6739368;61.56506868711598
2024/03/04 22:51:37;4143440;6803300;62.14909644332468
2024/03/04 22:51:42;4247468;6699272;61.198786122626466
2024/03/04 22:51:47;4301848;6644892;60.702017221565505
2024/03/04 22:51:52;4302604;6644136;60.695111055894266
2024/03/04 22:51:57;4146396;6800344;62.122092970144536
2024/03/04 22:52:03;4303044;6643696;60.69109159439249
2024/03/04 22:52:08;4310988;6635752;60.61852204400579
2024/03/04 22:52:13;4315472;6631268;60.577560077246744
2024/03/04 22:52:18;4316228;6630512;60.5706539115755
2024/03/04 22:52:23;4320256;6626484;60.53385756855466
2024/03/04 22:52:28;4320508;6626232;60.53155551333091
2024/03/04 22:52:33;4325212;6621528;60.48858381582097
2024/03/04 22:52:38;4338524;6608216;60.36697683511255
2024/03/04 22:52:43;4338524;6608216;60.36697683511255
2024/03/04 22:52:48;4338020;6608720;60.37158094556005
2024/03/04 22:52:53;4338020;6608720;60.37158094556005
2024/03/04 22:52:58;4337768;6608972;60.37388300078379
2024/03/04 22:53:04;4341968;6604772;60.335515413721346
2024/03/04 22:53:09;4341716;6605024;60.33781746894509
2024/03/04 22:53:14;4341480;6605260;60.33997336193241
2024/03/04 22:53:19;4341228;6605512;60.34227541715616
2024/03/04 22:53:24;4308796;6637944;60.63854627039648
2024/03/04 22:53:29;4308292;6638448;60.64315038084398
2024/03/04 22:53:34;4307788;6638952;60.64775449129147
2024/03/04 22:53:39;4308040;6638700;60.64545243606772
2024/03/04 22:53:44;4304764;6641976;60.675379153976436
2024/03/04 22:53:49;4308544;6638196;60.64084832562023
2024/03/04 22:53:55;4305016;6641724;60.673077098752685
2024/03/04 22:54:00;4305016;6641724;60.673077098752685
2024/03/04 22:54:05;4305016;6641724;60.673077098752685
2024/03/04 22:54:10;4307568;6639172;60.649764222042364
2024/03/04 22:54:15;4303296;6643444;60.68878953916874
2024/03/04 22:54:20;4306572;6640168;60.65886282126003
2024/03/04 22:54:25;4308516;6638224;60.64110410953398
2024/03/04 22:54:30;4304808;6641932;60.67497720782626
2024/03/04 22:54:35;4306068;6640672;60.663466931707525
2024/03/04 22:54:40;4305340;6641400;60.67011731346501
2024/03/04 22:54:45;4304584;6642156;60.67702347913625
2024/03/04 22:54:50;4304836;6641904;60.67472142391251
2024/03/04 22:54:55;4301168;6645572;60.708229116613715
2024/03/04 22:55:00;4301840;6644900;60.70209030268372
2024/03/04 22:55:05;4302092;6644648;60.69978824745998
2024/03/04 22:55:10;4302092;6644648;60.69978824745998
2024/03/04 22:55:15;4302728;6644012;60.693978298561944
2024/03/04 22:55:20;4302860;6643880;60.692772460111414
2024/03/04 22:55:25;4302612;6644128;60.69503797477605
2024/03/04 22:55:30;4301352;6645388;60.706548250894784
2024/03/04 22:55:35;4296564;6650176;60.75028730014598
2024/03/04 22:55:40;4295808;6650932;60.757193465817224
2024/03/04 22:55:45;4278328;6668412;60.916875709115224
2024/03/04 22:55:50;4282336;6664404;60.88026206888991
2024/03/04 22:55:56;4284608;6662132;60.85950703131709
2024/03/04 22:56:01;4286252;6660488;60.84448886152407
2024/03/04 22:56:06;4286636;6660104;60.84098096784979
2024/03/04 22:56:11;4288812;6657928;60.82110290369553
