@relation clustering_1_clustered

@attribute Instance_number numeric
@attribute requests/s numeric
@attribute processtime numeric
@attribute queuetime numeric
@attribute sendtime numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,1859.37455,0.002287,0.001179,0.000121,cluster2
1,1918.923763,0.002362,0.00181,0.00011,cluster2
2,1916.704779,0.002007,0.000214,0.000119,cluster2
3,1931.60392,0.002153,0.000232,0.000104,cluster2
4,1909.183042,0.002057,0.000164,0.000101,cluster2
5,1858.99796,0.002068,0.000182,0.000105,cluster2
6,1837.391227,0.002094,0.00017,0.000116,cluster2
7,1834.820699,0.002198,0.000587,0.000117,cluster2
8,1862.354132,0.00205,0.000433,0.000092,cluster2
9,1911.537225,0.002517,0.004316,0.000132,cluster2
10,1830.60632,0.002417,0.002181,0.000124,cluster2
11,1844.941068,0.002052,0.000176,0.000094,cluster2
12,1801.40739,0.002397,0.001583,0.000103,cluster2
13,1806.451153,0.002538,0.000309,0.00016,cluster2
14,1768.199817,0.002957,0.00253,0.000129,cluster2
15,1729.24248,0.002889,0.004318,0.000101,cluster2
16,1713.900059,0.00221,0.000201,0.000155,cluster2
17,1739.266961,0.002092,0.000375,0.000116,cluster2
18,1772.471193,0.002747,0.003746,0.000111,cluster2
19,1763.22446,0.003173,0.003071,0.000111,cluster2
20,1740.780427,0.002732,0.005656,0.000092,cluster2
21,1706.555401,0.00245,0.003821,0.000109,cluster2
22,1725.577667,0.002405,0.00131,0.000139,cluster2
23,1647.480293,0.002772,0.002509,0.000099,cluster0
24,1673.233466,0.002844,0.002643,0.000136,cluster2
25,1656.099562,0.003395,0.007744,0.000131,cluster2
26,1709.175727,0.003156,0.003658,0.000169,cluster2
27,1616.509411,0.002769,0.002294,0.000102,cluster0
28,1616.627216,0.002779,0.001901,0.000109,cluster0
29,1607.690993,0.002311,0.002285,0.000103,cluster0
30,1596.822933,0.002628,0.001634,0.000116,cluster0
31,1639.883322,0.00335,0.004207,0.000144,cluster2
32,1581.775049,0.003533,0.004363,0.000155,cluster2
33,1565.620343,0.003109,0.003587,0.000139,cluster0
34,1564.324356,0.002512,0.00174,0.000128,cluster0
35,1531.975239,0.003439,0.011411,0.000114,cluster0
36,1550.228515,0.00234,0.000785,0.000114,cluster0
37,1637.606892,0.002807,0.002256,0.000119,cluster2
38,1459.172869,0.002827,0.004658,0.000115,cluster0
39,1515.104964,0.00263,0.001649,0.000114,cluster0
40,1440.149973,0.002981,0.003231,0.000147,cluster0
41,1535.892811,0.003083,0.001814,0.00012,cluster0
42,1445.741473,0.002934,0.003685,0.000154,cluster0
43,1461.296506,0.003116,0.003988,0.000149,cluster0
44,1516.89157,0.003277,0.007055,0.000131,cluster0
45,1503.620857,0.003056,0.004603,0.000117,cluster0
46,1504.198228,0.003005,0.001349,0.000148,cluster0
47,1468.612482,0.00267,0.001952,0.000195,cluster0
48,1507.401323,0.002073,0.000168,0.000095,cluster0
49,1436.636692,0.002033,0.000141,0.000093,cluster0
50,1457.905483,0.002032,0.000143,0.0001,cluster0
51,1449.766381,0.002562,0.001422,0.000097,cluster0
52,1428.037431,0.00215,0.000156,0.000103,cluster0
53,1399.341425,0.002146,0.000161,0.000089,cluster0
54,1403.791375,0.002139,0.001335,0.000087,cluster0
55,1327.219608,0.002805,0.002673,0.000105,cluster0
56,1397.510443,0.002044,0.000179,0.000101,cluster0
57,1352.368063,0.002033,0.000117,0.000093,cluster0
58,1353.376321,0.002163,0.000128,0.000114,cluster0
59,1332.243939,0.002661,0.000714,0.000142,cluster0
60,1399.944148,0.002039,0.000128,0.000094,cluster0
61,1333.598867,0.002029,0.000123,0.000087,cluster0
62,1377.769966,0.001901,0.000116,0.000079,cluster0
63,1383.650261,0.002426,0.000411,0.00012,cluster0
64,1381.043559,0.002585,0.000345,0.000131,cluster0
65,1442.985976,0.002517,0.002164,0.000102,cluster0
66,1363.943641,0.002405,0.001168,0.000095,cluster0
67,1372.687243,0.002394,0.002241,0.000088,cluster0
68,1410.97832,0.00219,0.000362,0.000096,cluster0
69,1410.358839,0.001956,0.000103,0.000083,cluster0
70,1404.626649,0.001953,0.00011,0.000081,cluster0
71,1412.196094,0.001911,0.000101,0.00009,cluster0
72,1442.143949,0.002124,0.000209,0.000108,cluster0
73,1479.330068,0.002485,0.001682,0.000122,cluster0
74,1375.544617,0.00213,0.000193,0.000105,cluster0
75,1442.307668,0.002261,0.000147,0.000082,cluster0
76,1423.158004,0.002402,0.001012,0.000113,cluster0
