Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada
2024/03/04 22:36:09;5117868;107980;3909340
2024/03/04 22:36:14;5117548;108028;3909344
2024/03/04 22:36:19;5099916;108048;3912992
2024/03/04 22:36:24;5103612;108132;3912804
2024/03/04 22:36:29;5100152;108228;3909384
2024/03/04 22:36:34;5097860;108316;3909388
2024/03/04 22:36:40;5104900;108376;3909388
2024/03/04 22:36:45;5104400;108408;3909476
2024/03/04 22:36:50;5100900;108444;3909468
2024/03/04 22:36:55;5105652;108500;3909472
2024/03/04 22:37:00;5105400;108560;3909476
2024/03/04 22:37:05;5102376;108600;3909480
2024/03/04 22:37:10;5102376;108668;3909472
2024/03/04 22:37:15;5102376;108692;3909484
2024/03/04 22:37:20;5100420;108744;3909708
2024/03/04 22:37:25;5100612;108796;3909480
2024/03/04 22:37:30;5100612;108856;3909480
2024/03/04 22:37:35;5105608;108904;3909488
2024/03/04 22:37:40;5105344;108960;3909488
2024/03/04 22:37:45;5105360;109000;3909492
2024/03/04 22:37:51;5101356;109052;3909488
2024/03/04 22:37:56;5101104;109116;3909520
2024/03/04 22:38:01;5105760;109180;3909496
2024/03/04 22:38:06;5105036;109228;3909560
2024/03/04 22:38:11;5104784;109296;3909524
2024/03/04 22:38:16;5095464;109360;3909516
2024/03/04 22:38:21;5095452;109412;3909508
2024/03/04 22:38:26;5096920;109456;3909612
2024/03/04 22:38:31;5096168;109500;3909608
2024/03/04 22:38:36;5095664;109540;3909612
2024/03/04 22:38:41;5094912;109604;3909604
2024/03/04 22:38:47;5095164;109668;3909604
2024/03/04 22:38:52;5095416;109700;3909604
2024/03/04 22:38:57;5094916;109732;3909604
2024/03/04 22:39:03;5094664;109768;3909612
2024/03/04 22:39:08;5094664;109796;3909604
2024/03/04 22:39:13;5093152;109844;3909648
2024/03/04 22:39:18;5089624;109888;3913032
2024/03/04 22:39:23;5089876;109940;3909604
2024/03/04 22:39:28;5094872;109996;3909612
2024/03/04 22:39:33;5090588;110032;3913248
2024/03/04 22:39:39;5093612;110096;3909600
2024/03/04 22:39:44;5097368;110164;3909824
2024/03/04 22:39:49;5098156;110208;3909612
2024/03/04 22:39:54;5096728;110260;3909612
2024/03/04 22:39:59;5096476;110272;3909624
2024/03/04 22:40:04;5030124;110336;3919320
2024/03/04 22:40:10;4951248;110392;3921036
2024/03/04 22:40:15;4950996;110456;3921064
2024/03/04 22:40:20;4947216;110516;3921248
2024/03/04 22:40:25;4946964;110560;3921028
2024/03/04 22:40:30;4946712;110588;3921028
2024/03/04 22:40:35;4951452;110632;3921028
2024/03/04 22:40:40;4950448;110652;3921028
2024/03/04 22:40:45;4950448;110672;3921028
2024/03/04 22:40:51;4950196;110712;3921028
2024/03/04 22:40:56;4949692;110756;3921024
2024/03/04 22:41:01;4949188;110784;3921028
2024/03/04 22:41:06;4948688;110828;3921024
2024/03/04 22:41:11;4948688;110888;3921028
2024/03/04 22:41:16;4948688;110944;3921396
2024/03/04 22:41:21;4947944;110964;3921020
2024/03/04 22:41:26;4947440;111012;3921076
2024/03/04 22:41:31;4946936;111060;3921180
2024/03/04 22:41:36;4946180;111084;3921344
2024/03/04 22:41:41;4942148;111116;3921036
2024/03/04 22:41:46;4947120;111136;3921036
2024/03/04 22:41:51;4947372;111192;3921040
2024/03/04 22:41:56;4952576;111244;3921036
2024/03/04 22:42:01;4952576;111292;3921044
2024/03/04 22:42:06;4957616;111304;3921044
2024/03/04 22:42:11;4956612;111328;3921048
2024/03/04 22:42:16;4956612;111384;3921048
2024/03/04 22:42:21;4956148;111420;3921084
2024/03/04 22:42:26;4955896;111432;3921048
2024/03/04 22:42:32;4955392;111484;3921040
2024/03/04 22:42:37;4951864;111512;3925156
2024/03/04 22:42:42;4948588;111544;3921396
2024/03/04 22:42:47;4948340;111592;3921404
2024/03/04 22:42:52;4944336;111624;3921404
2024/03/04 22:42:57;4949572;111672;3921404
2024/03/04 22:43:02;4948060;111700;3921404
2024/03/04 22:43:07;4943776;111756;3921632
2024/03/04 22:43:12;4942516;111796;3921808
2024/03/04 22:43:17;4941512;111828;3921484
2024/03/04 22:43:22;4925636;111884;3923304
2024/03/04 22:43:27;4925384;111936;3923316
2024/03/04 22:43:32;4924880;111988;3923316
2024/03/04 22:43:37;4930220;112020;3921508
2024/03/04 22:43:42;4929716;112076;3921852
2024/03/04 22:43:47;4924176;112112;3923440
2024/03/04 22:43:52;4923924;112136;3921512
2024/03/04 22:43:57;4928948;112192;3921516
2024/03/04 22:44:02;4928696;112224;3921528
2024/03/04 22:44:07;4924452;112240;3921512
2024/03/04 22:44:12;4898748;112276;3921520
2024/03/04 22:44:17;4898244;112296;3921512
2024/03/04 22:44:22;4897992;112316;3921512
2024/03/04 22:44:27;4897488;112352;3921548
2024/03/04 22:44:32;4893456;112400;3923336
2024/03/04 22:44:37;4891188;112448;3923340
2024/03/04 22:44:42;4892700;112480;3921512
2024/03/04 22:44:48;4891188;112496;3921512
2024/03/04 22:44:53;4887660;112516;3921512
2024/03/04 22:44:58;4935032;112544;3921516
2024/03/04 22:45:03;4937132;112592;3923120
2024/03/04 22:45:08;4941848;112632;3921292
2024/03/04 22:45:13;4941596;112672;3921280
2024/03/04 22:45:18;4941596;112716;3921284
2024/03/04 22:45:23;4942644;112768;3921284
2024/03/04 22:45:28;4942140;112808;3921784
2024/03/04 22:45:33;5114648;112872;3920764
2024/03/04 22:45:38;5113724;112908;3917220
2024/03/04 22:45:43;5037528;112940;3923372
2024/03/04 22:45:48;5032740;112988;3927608
2024/03/04 22:45:53;4956888;113044;3923908
2024/03/04 22:45:58;4956344;113072;3925356
2024/03/04 22:46:03;4952564;113100;3926944
2024/03/04 22:46:08;4951812;113132;3923900
2024/03/04 22:46:13;4948284;113172;3923788
2024/03/04 22:46:19;4948032;113212;3923564
2024/03/04 22:46:24;4944760;113248;3925396
2024/03/04 22:46:29;4951364;113300;3923604
2024/03/04 22:46:34;4949616;113352;3923568
2024/03/04 22:46:39;4946844;113392;3923588
2024/03/04 22:46:44;4946592;113444;3923588
2024/03/04 22:46:49;4942812;113476;3927004
2024/03/04 22:46:54;4944576;113504;3923588
2024/03/04 22:46:59;4944324;113548;3924000
2024/03/04 22:47:04;4940544;113556;3927232
2024/03/04 22:47:09;4940292;113616;3923596
2024/03/04 22:47:14;4945512;113660;3923592
2024/03/04 22:47:19;4945008;113712;3923600
2024/03/04 22:47:24;4945008;113740;3923600
2024/03/04 22:47:29;4945008;113784;3924080
2024/03/04 22:47:34;4944784;113824;3923600
2024/03/04 22:47:39;4944280;113872;3923604
2024/03/04 22:47:44;4943776;113880;3923608
2024/03/04 22:47:49;4943524;113912;3923600
2024/03/04 22:47:54;4943524;113940;3923616
2024/03/04 22:47:59;4943272;114004;3923612
2024/03/04 22:48:04;4941552;114040;3923612
2024/03/04 22:48:09;4941804;114100;3923620
2024/03/04 22:48:14;4941552;114156;3923616
2024/03/04 22:48:20;4946780;114184;3923444
2024/03/04 22:48:25;4946528;114216;3923848
